Mouse_ID,HI,HI_Level,Year,Date,Plate,Tested_by,Machine,Measurements,Ct_mean_ABI,Ct_1_Ep,Ct_1_Ep_Real_Pred,Ct_1_Ep_Real_Check,Ct_2_Ep,Ct_2_Ep_Real_Pred,Ct_2_Ep_Real_Check,Ct_mean_Ep,Ct_Ep_Consistent,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_mean_1_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_mean_2_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI,Ct_mean_3_ABI,Ct_mean,Consistent,StDev,Transect,Latitude,Longitude,Sex,Oocyst_Predict,Oocyst_Level
AA_0757,0.27,HI < 0.5,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.0014,13.143,F,0,OP = 0
AA_0758,0.15,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9932,13.3048,M,0,OP = 0
AA_0759,0.15,HI < 0.25,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,30.55,NA,NA,NA,NA,NA,NA,NA,NA,30.77330416,30.70163299,30.66448218,30.71,30.34,30.4,30.43,30.39,NA,NA,NA,NA,30.55156989,TRUE,0.18,HZ_BR,52.9932,13.3048,M,3987,OP < 10^4
AA_0760,0,HI == 0,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9721,13.2763,F,0,OP = 0
AA_0761,0.13,HI < 0.25,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.9721,13.2763,M,0,OP = 0
AA_0762,0.11,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9932,13.3048,M,0,OP = 0
AA_0763,0.35,HI < 0.5,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.2674,13.8955,M,0,OP = 0
AA_0764,0.89,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.2639,13.6014,M,0,OP = 0
AA_0765,0.89,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.2599,13.5497,M,0,OP = 0
AA_0766,0.1,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9462,13.2131,F,0,OP = 0
AA_0767,0.18,HI < 0.25,2019,27.05.21,4,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9462,13.2131,M,0,OP = 0
AA_0768,0.2,HI < 0.25,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.9462,13.2131,M,0,OP = 0
AA_0769,0.16,HI < 0.25,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.9462,13.2131,F,0,OP = 0
AA_0770,0.86,HI < 1,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.2979,13.7184,F,0,OP = 0
AA_0771,0.86,HI < 1,2019,27.05.21,4,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.2979,13.7184,F,0,OP = 0
AA_0772,0.24,HI < 0.25,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,37.95971846,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,15.5,HZ_BR,52.9462,13.2131,M,0,OP = 0
AA_0773,0.11,HI < 0.25,2019,27.05.21,4,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9462,13.2131,M,0,OP = 0
AA_0774,0.04,HI < 0.25,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.9462,13.2131,F,0,OP = 0
AA_0775,0.13,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9462,13.2131,F,0,OP = 0
AA_0780,0.22,HI < 0.25,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9462,13.2131,M,0,OP = 0
AA_0783,0.88,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.1922,13.6062,M,0,OP = 0
AA_0784,0.76,HI < 1,2019,27.05.21,4,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1929,13.6069,M,0,OP = 0
AA_0786,0.78,HI < 1,2019,27.05.21,4,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1929,13.6069,F,0,OP = 0
AA_0788,0.76,HI < 1,2019,27.05.21,5,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.2289,13.5951,M,0,OP = 0
AA_0789,0.87,HI < 1,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.187,13.6478,F,0,OP = 0
AA_0790,0.78,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.2289,13.5951,F,0,OP = 0
AA_0791,0.75,HI < 1,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.2289,13.5951,M,0,OP = 0
AA_0793,0.87,HI < 1,2019,18.06.21,7,Tes-Tes,new ABI + new ABI,2,29.23189459,NA,NA,NA,NA,NA,NA,NA,NA,29.865,28.998,29.485,29.44933333,29.36760249,29.27013169,28.40563334,29.01445584,NA,NA,NA,NA,29.23189459,TRUE,0.49,HZ_BR,53.1426,13.9534,F,12608,OP < 10^5
AA_0794,0.87,HI < 1,2019,10.03.21,3,Tes,new ABI,1,31.17,NA,NA,NA,NA,NA,NA,NA,NA,30.97,30.934,31.598,31.17,NA,NA,NA,NA,NA,NA,NA,NA,31.16733333,NA,0.37,HZ_BR,53.1426,13.9534,F,2920,OP < 10^4
AA_0799,0.83,HI < 1,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1426,13.9534,M,0,OP = 0
AA_0801,0.78,HI < 1,2019,27.05.21,4,Tes,new ABI,1,33.59,NA,NA,NA,NA,NA,NA,NA,NA,33.528,32.932,34.305,33.59,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.69,HZ_BR,53.1426,13.9534,F,567,OP < 10^3
AA_0804,0.95,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,32.84666667,NA,NA,NA,NA,NA,NA,NA,NA,32.52446773,32.51602118,32.85901525,32.63,33.15,33.06,32.98,33.06333333,NA,NA,NA,NA,32.84825069,TRUE,0.27,HZ_BR,53.1426,13.9534,F,1086,OP < 10^4
AA_0805,0.81,HI < 1,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,29.68846904,NA,NA,NA,NA,NA,NA,NA,NA,29.75638787,29.61568032,29.71874605,29.69693808,30.62,29.35,29.07,29.68,NA,NA,NA,NA,29.68846904,TRUE,0.52,HZ_BR,53.1426,13.9534,F,7901,OP < 10^4
AA_0806,0.82,HI < 1,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1426,13.9534,F,0,OP = 0
AA_0807,0.87,HI < 1,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1426,13.9534,F,0,OP = 0
AA_0808,0.94,HI < 1,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.1885,13.9952,M,0,OP = 0
AA_0811,0.87,HI < 1,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1305,13.7596,F,0,OP = 0
AA_0815,0.87,HI < 1,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1305,13.7596,F,0,OP = 0
AA_0820,0.88,HI < 1,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1305,13.7596,M,0,OP = 0
AA_0821,0.88,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,37.96691672,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,15.5,HZ_BR,53.1305,13.7596,M,0,OP = 0
AA_0821,0.88,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,15.5,HZ_BR,53.1305,13.7596,M,0,OP = 0
AA_0823,0.04,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.0655,13.1059,F,0,OP = 0
AA_0827,0.09,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,35.90029083,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20.73,HZ_BR,53.0526,13.2297,F,0,OP = 0
AA_0828,0.81,HI < 1,2019,27.05.21,5,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1405,13.7596,M,0,OP = 0
AA_0830,0.04,HI < 0.25,2019,27.05.21,5,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.0526,13.2297,F,0,OP = 0
AA_0837,0.93,HI < 1,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1162,13.6796,M,0,OP = 0
AA_0844,0.94,HI < 1,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,39.82,0,NA,NA,NA,NA,0,TRUE,16.26,HZ_BR,52.9207,13.1146,M,0,OP = 0
AA_0845,0.13,HI < 0.25,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9446,13.2131,M,0,OP = 0
AA_0846,0.59,HI < 0.75,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,53.0073,13.1202,M,0,OP = 0
AA_0847,0.14,HI < 0.25,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,37.33,0,NA,NA,NA,NA,0,TRUE,15.24,HZ_BR,52.9446,13.2131,F,0,OP = 0
AA_0848,0.13,HI < 0.25,2019,27.05.21,4,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9446,13.2131,M,0,OP = 0
AA_0849,0.17,HI < 0.25,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9446,13.2131,M,0,OP = 0
AA_0850,0.24,HI < 0.25,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.9446,13.2131,M,0,OP = 0
AA_0851,0.13,HI < 0.25,2019,09.03.21,2+2,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.9446,13.2131,F,0,OP = 0
AA_0852,0.13,HI < 0.25,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9446,13.2131,F,0,OP = 0
AA_0853,0.93,HI < 1,2019,08.03.21,1+1,Tes-Tes,old ABI + new ABI,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,TRUE,0,HZ_BR,52.6203,14.0678,M,0,OP = 0
AA_0854,0.78,HI < 1,2019,01.06.21,6,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9207,13.1146,M,0,OP = 0
AA_0855,0.83,HI < 1,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1267,13.7174,F,0,OP = 0
AA_0856,0.87,HI < 1,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,52.9456,14.1013,F,0,OP = 0
AA_0857,0.83,HI < 1,2019,10.03.21,3,Tes,new ABI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,HZ_BR,53.1267,13.7174,F,0,OP = 0
