"","Latitude","Longitude"
"1",53.0497,13.4408
"2",52.0747,14.1808
"3",52.8969,13.5353
"4",53.1275,13.4864
"5",53.1422,13.9533
"6",52.0172,14.1442
"7",52.2125,14.0922
"8",52.8328,14.0908
"9",52.9581,13.895
"10",52.9783,13.7336
"11",52.9936,13.3047
"12",53.0783,14.1414
