# File Name: Trouble-Shooting.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-10 11:07:18 AM UTC
# Run End Date/Time: 2021-10-10 12:07:55 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-14 09:25:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-14 09:26:20 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"4","A4","25","11909.439","148827.7"
"4","A4","26","12114.513","148666.78"
"4","A4","27","12685.285","148424.08"
"4","A4","28","12868.754","148369.33"
"4","A4","29","12744.4375","148550.47"
"4","A4","30","12820.752","148346.02"
"4","A4","31","12976.172","148296.39"
"4","A4","32","12774.6455","148561.81"
"4","A4","33","12551.983","148496.72"
"4","A4","34","12421.452","148421.84"
"4","A4","35","12357.616","148419.58"
"4","A4","36","12590.715","148028.73"
"4","A4","37","12115.752","147845.4"
"4","A4","38","12011.652","147672.55"
"4","A4","39","12774.055","147717.06"
"4","A4","40","13405.769","148077.67"
"5","A5","1","-14591.015","124786.29"
"5","A5","2","-14714.035","125044.89"
"5","A5","3","-14610.431","125847.19"
"5","A5","4","-13737.413","126030.086"
"5","A5","5","-12952.535","125922.76"
"5","A5","6","-13574.653","126054.34"
"5","A5","7","-13944.503","126098.63"
"5","A5","8","-14341.441","126151.93"
"5","A5","9","-14316.632","126183.18"
"5","A5","10","-13699.87","126310.695"
"5","A5","11","-13679.703","126327.54"
"5","A5","12","-13924.948","126317.586"
"5","A5","13","-13969.35","126272.3"
"5","A5","14","-13693.664","126085.875"
"5","A5","15","-13705.011","125961.766"
"5","A5","16","-13755.92","125892.664"
"5","A5","17","-13705.814","125888.71"
"5","A5","18","-13182.498","125964.81"
"5","A5","19","-13061.82","125816.64"
"5","A5","20","-13104.218","125673.84"
"5","A5","21","-12967.607","125536.92"
"5","A5","22","-13267.12","125597.836"
"5","A5","23","-13352.228","125498.93"
"5","A5","24","-12992.606","125510.17"
"5","A5","25","-12925.29","125374.17"
"5","A5","26","-12971.831","125271.46"
"5","A5","27","-12862.302","125056.445"
"5","A5","28","-13319.095","124877.125"
"5","A5","29","-13418.54","124824.37"
"5","A5","30","-12919.038","124675.164"
"5","A5","31","-12618.647","124618.23"
"5","A5","32","-12568.791","124763.76"
"5","A5","33","-12339.103","124657.28"
"5","A5","34","-12310.244","124535.91"
"5","A5","35","-12560.854","124503.22"
"5","A5","36","-12509.141","124535.98"
"5","A5","37","-11660.149","124133.65"
"5","A5","38","-11642.983","122514.445"
"5","A5","39","-11800.214","122141.195"
"5","A5","40","-11709.577","122260.055"
"6","A6","1","-19665.248","105113.66"
"6","A6","2","-19881.842","105451.3"
"6","A6","3","-19878.703","106127.64"
"6","A6","4","-19387.998","106345.34"
"6","A6","5","-19106.426","106447.73"
"6","A6","6","-19132.875","106566.305"
"6","A6","7","-19431.684","106589.59"
"6","A6","8","-19529.396","106972.32"
"6","A6","9","-19445.143","107051.79"
"6","A6","10","-19416.55","107115.555"
"6","A6","11","-19136.7","107062.75"
"6","A6","12","-18890.828","107228.91"
"6","A6","13","-18797.654","107358.7"
"6","A6","14","-18372.787","107735.13"
"6","A6","15","-18263.432","107618.98"
"6","A6","16","-18434.443","107208.52"
"6","A6","17","-18860.096","107033.81"
"6","A6","18","-18955.133","107132.66"
"6","A6","19","-18635.422","107123.234"
"6","A6","20","-18544.598","107461.65"
"6","A6","21","-18718.678","107697.1"
"6","A6","22","-19103.393","107634.164"
"6","A6","23","-19085.94","107509.3"
"6","A6","24","-18382.936","107564.43"
"6","A6","25","-18103.408","107362.68"
"6","A6","26","-17949.934","107183.71"
"6","A6","27","-17884.957","107181.83"
"6","A6","28","-17807.924","107227.914"
"6","A6","29","-17912.963","107243.15"
"6","A6","30","-18135.023","107183.87"
"6","A6","31","-18782.44","107351.52"
"6","A6","32","-18963.201","107152.0"
"6","A6","33","-18605.809","107075.14"
"6","A6","34","-17944.684","107415.77"
"6","A6","35","-17818.957","107212.04"
"6","A6","36","-17601.457","107110.195"
"6","A6","37","-18003.404","107423.45"
"6","A6","38","-18241.193","107237.48"
"6","A6","39","-18133.863","106829.695"
"6","A6","40","-17392.02","106626.31"
"7","A7","1","-5431.1924","138222.94"
"7","A7","2","-5624.7974","138411.53"
"7","A7","3","-5662.5117","139277.58"
"7","A7","4","-5274.817","139875.86"
"7","A7","5","-4597.5464","140116.61"
"7","A7","6","-4361.1226","140111.31"
"7","A7","7","-4246.226","140156.55"
"7","A7","8","-4266.4927","140205.75"
"7","A7","9","-3973.271","140075.69"
"7","A7","10","-3557.5151","139660.6"
"7","A7","11","-3983.0903","139513.44"
"7","A7","12","-4107.1665","139728.14"
"7","A7","13","-3627.926","139488.2"
"7","A7","14","-3228.7715","139290.55"
"7","A7","15","-3218.7458","139242.75"
"7","A7","16","-3792.3262","139052.33"
"7","A7","17","-3816.6526","138718.56"
"7","A7","18","-3082.795","138607.66"
"7","A7","19","-3523.1572","138749.73"
"7","A7","20","-3960.419","138397.31"
"7","A7","21","-3969.011","138208.83"
"7","A7","22","-3427.3584","138153.0"
"7","A7","23","-3650.7002","137913.77"
"7","A7","24","-3874.505","137816.38"
"7","A7","25","-3877.4329","137903.14"
"7","A7","26","-3488.4841","137729.34"
