# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"28","C4","AA_0752 R","","Unknown","FAM","UNKNOWN","FAM","None","Amp","31.723644450375787","31.9463389189908","0.9633070229589791","0.235587235933763","","","true","0.09264752831052908","true","3","27","67.39622497558594","82.34184265136719","61.961456298828125","90.19206237792969","","","","","","","false"
"29","C5","AA_0752 R","","Unknown","FAM","UNKNOWN","FAM","None","Amp","31.922383803093787","31.9463389189908","0.9768167845256823","0.235587235933763","","","true","0.09264752831052908","true","3","27","70.87391662597656","80.54032135009766","76.91542053222656","88.99842834472656","","","","","","","false"
"30","C6","AA_0752 R","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.19298850350283","31.9463389189908","0.9333976642939266","0.235587235933763","","","true","0.09264752831052908","true","3","29","90.81088256835938","84.46730041503906","","","","","","","","","false"
"31","C7","AA_0806 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","35","85.97767639160156","61.81165313720703","77.21749877929688","91.26399230957031","","","","","","","false"
"32","C8","AA_0806 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","34","80.3892822265625","76.31126403808594","88.394287109375","66.64485931396484","","","","","","","false"
"33","C9","AA_0806 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","69.52427673339844","80.10724639892578","76.02523803710938","88.42243957519531","","","","","","","false"
"34","C10","AA_0772","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","80.86317443847656","76.6299819946289","88.12006378173828","84.3404312133789","","","","","","","false"
"35","C11","AA_0772","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","76.93235778808594","85.70110321044922","80.40961456298828","90.69021606445312","","","","","","","false"
"36","C12","AA_0772","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","76.78116607666016","81.31672668457031","85.24754333496094","88.42243957519531","","","","","","","false"
"37","D1","1.95x10_3 tyz","1953.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","30.62405890465024","30.390669953654747","0.9690309760301486","0.39414107751704547","","","true","0.04596446514135212","true","3","28","71.92520141601562","87.47467803955078","65.88656616210938","76.756103515625","","","","","","","false"
"38","D2","1.95x10_3 tyz","1953.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","29.93560528568821","30.390669953654747","0.9708530409868833","0.39414107751704547","","","true","0.04596446514135212","true","3","27","72.07616424560547","80.37928771972656","87.47467803955078","62.263389587402344","","","","","","","false"
"39","D3","1.95x10_3 tyz","1953.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","30.61234567062578","30.390669953654747","0.9571407683064331","0.39414107751704547","","","true","0.04596446514135212","true","3","27","72.37809753417969","86.26695251464844","68.60395050048828","90.94689178466797","","","","","","","false"
"40","D4","AA_0753 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","92.75848388671875","85.0592269897461","","","","","","","","","false"
"41","D5","AA_0753 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","86.58183288574219","79.93617248535156","","","","","","","","","false"
"42","D6","AA_0753 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","91.4150390625","","","","","","","","","","false"
"43","D7","AA_0807 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","64.22825622558594","85.82664489746094","70.4207992553711","73.4415512084961","","","","","","","false"
"44","D8","AA_0807 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","81.14447021484375","85.82664489746094","68.3062744140625","71.3270263671875","","","","","","","false"
"45","D9","AA_0807 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","79.0489501953125","89.48072814941406","68.46598052978516","64.2327880859375","","","","","","","false"
"46","D10","AA_0714","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","36.40238253775027","0.0","0.5249773351381748","","","true","0.09264752831052908","true","3","39","79.95606231689453","87.81769561767578","90.84140014648438","85.24754333496094","","","","","","","false"
"47","D11","AA_0714","","Unknown","FAM","UNKNOWN","FAM","None","Amp","36.77359757139535","36.40238253775027","0.519825671310074","0.5249773351381748","","","true","0.09264752831052908","true","3","33","80.25843048095703","87.061767578125","72.85034942626953","90.69021606445312","","","","","","","false"
"48","D12","AA_0714","","Unknown","FAM","UNKNOWN","FAM","None","Amp","36.0311675041052","36.40238253775027","0.738386641647089","0.5249773351381748","","","true","0.09264752831052908","true","3","31","81.01435852050781","85.24754333496094","91.29495239257812","76.17642974853516","","","","","","","false"
"49","E1","2.44x10_2 tyz","244.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","33.72877920933689","34.213320385140854","0.9372288831912391","0.6947052568946602","","","true","0.04596446514135212","true","3","31","88.53143310546875","75.6993408203125","69.81167602539062","64.52787780761719","","","","","","","false"
"50","E2","2.44x10_2 tyz","244.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","35.00924274145875","34.213320385140854","0.9679926581414778","0.6947052568946602","","","true","0.04596446514135212","true","3","32","71.47230529785156","75.39741516113281","82.9457015991211","79.4734878540039","","","","","","","false"
"51","E3","2.44x10_2 tyz","244.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","33.90193920462691","34.213320385140854","0.966914925932233","0.6947052568946602","","","true","0.04596446514135212","true","3","29","67.69815826416016","82.03990936279297","85.36116027832031","89.89012908935547","","","","","","","false"
"52","E4","AA_0754 I R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","90.19206237792969","","","","","","","","","","false"
