Mouse_ID,qPCR_Date,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_3_Ep,Ct_4_Ep,Ct_5_Ep,Ct_6_Ep,Flag_Ct_1_Ep,Flag_Ct_2_Ep,Flag_Ct_3_Ep,Flag_Ct_4_Ep,Flag_Ct_5_Ep,Flag_Ct_6_Ep,Consistent_Ct_Ep,Corrected_Ct_Ep,Ct_mean_Ep,Ct_mean_ABI,Ct_mean,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI
AA_0769,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0770,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0772,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,37.95971846,0,0,0,0,NA,NA,NA
AA_0774,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0783,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0789,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0790,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0791,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0808,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0821,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,37.96691672,0,0,0,0,NA,NA,NA
AA_0844,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,39.82,NA,NA,NA
AA_0846,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0847,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,37.33,NA,NA,NA
AA_0850,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0851,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0853,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0805,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.68846904,29.68846904,29.69693808,29.68,NA,29.75638787,29.61568032,29.71874605,30.62,29.35,29.07,NA,NA,NA
AA_0759,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.55,30.55,30.71,30.39,NA,30.77330416,30.70163299,30.66448218,30.34,30.4,30.43,NA,NA,NA
AA_0690,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.21169417,31.21169417,31.13338834,31.29,NA,31.30812966,30.95656316,31.13547219,31.4,31.09,31.38,NA,NA,NA
AA_0804,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.84666667,32.84666667,32.63,33.06333333,NA,32.52446773,32.51602118,32.85901525,33.15,33.06,32.98,NA,NA,NA
AA_0739,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.71,33.71,33.39,34.03,NA,33.02801271,33.84540125,33.28768641,34,34.07,34.02,NA,NA,NA
