"","Mouse_ID","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","Ticks","eimeriaSpecies","MC.Eimeria","delta_ct_cewe_MminusE","Ct.Eimeria","Ct.Mus","IL.12","IRG6","CXCR3","IL.6","GBP2","CASP1","CXCL9","GAPDH","IDO1","IFNy","IL.10","IL.13","IL1RN","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PPIB","PRF1","RETNLB","SOCS1","TICAM1","TNF","CD4","Treg","Treg17","Th1","Th17","CD8","Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Ct_mean","Oocyst_Predict","ILWE_DNA_Content_ng.microliter","COCE","CEWE","ILWE","CECE","COWE","SICE","Host","FEC","SPL2","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp"
"522","AA_0566","F",13.66,52.7369,2018,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",13,0.08,"13/09/18",0.04,0,NA,NA,0,0,"Dorfstrasse 2, 16359","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,"dom",11.69,69,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,71,"12/09/18",NA,"Negative",FALSE,-8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"154.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"523","AA_0567","M",13.66,52.7369,2018,"d","d","d","d","d","d","d","d","94","100","100","100","90/100","100","dd","dd","dd","dd","dm","dd",14,0.05,"13/09/18",0.03,0,NA,NA,0,0,"Dorfstrasse 2, 16359","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,"dom",9.8,64,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,64,"12/09/18",NA,"Negative",FALSE,-12.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"353.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0
"524","AA_0568","M",13.66,52.7369,2018,"d","d","d","d","d","d","d","d","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",14,0.1,"13/09/18",0.0495,0,NA,NA,0,0,"Dorfstrasse 2, 16359","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,"dom",14.21,68.5,NA,NA,0.08,NA,NA,NA,NA,NA,0.0287,0.0314,75.5,"12/09/18",NA,"Negative",FALSE,-9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"108.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"525","AA_0569","M",13.66,52.7369,2018,"d","d","d","d","d","d","d","d",NA,NA,"100","100","100","100",NA,NA,"dd","dd","dd","dd",12,0,"13/09/18",0.0306,0,NA,NA,0,0,"Dorfstrasse 2, 16359","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",9.14,62.75,NA,NA,0.23,NA,NA,NA,NA,NA,0.0095,0.0097,63,"12/09/18",NA,"Negative",TRUE,-5.74,NA,NA,-11.9616666666667,-6.615,-9.445,-9.22833333333333,-7.735,NA,17.8223170926966,9.15153899615536,19.1452254139004,27.2755234712536,NA,15.6729908170724,19.4011541761481,14.5492433249157,NA,14.8512873694629,16.5409938641902,22.7645208137555,NA,NA,23.1602111072902,NA,15.2799168896424,26.0853517403067,26.4964990573917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"194.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,0
"526","AA_0570","M",13.3047,52.9936,2018,"m","m","d","d","d","d","d","d","94",NA,"100","100","100","100","dd",NA,"dd","dd","dd","dd",13,0.1111111111,"14/09/18",0.0221,10,NA,NA,0,0,"Mildenberger str. 1, 16792","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"DyM",18.26,81.4,NA,0.0308,0.46,NA,NA,NA,NA,NA,0.0753,0.0724,90.1,"13/09/18",NA,"Negative",FALSE,-9.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"126.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0
"527","AA_0571","M",13.3047,52.9936,2018,"m","m","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0.1,"14/09/18",0.0186,0,NA,NA,0,0,"Mildenberger str. 1, 16792","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"DyM",16.94,71.9,NA,0.0261,0.46,NA,NA,NA,NA,NA,0.0733,0.0743,87,"13/09/18",NA,"Negative",FALSE,-8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.96,3366,"178.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0
"528","AA_0572","F",13.3047,52.9936,2018,"m",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0.04,"14/09/18",0.0176,1,NA,NA,0,0,"Mildenberger str. 1, 16792","pregnant",2,3,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"DyM",21.52,81.73,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,84.15,"13/09/18",NA,"Negative",TRUE,-7.71,NA,NA,-13.4083333333333,-9.29500000000001,-8.875,-8.62166666666667,-7.945,NA,20.753003573445,8.63960171594196,23.9811360466252,NA,NA,19.1472498587173,23.6921038924581,14.1450659329898,27.1814656584461,17.2645947265085,NA,21.5067719776454,26.4955911052661,NA,NA,NA,14.6323872548959,23.7846728494475,26.7405381329276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"330.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0,0
"529","AA_0573","M",14.0736,52.9308,2018,"m","m","m","m",NA,"d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",13,0.9473684211,"14/09/18",0.023,0,NA,NA,0,0,"Dorfstrasse 44, 16248","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",13.47,76.37,NA,0.0202,0.49,NA,NA,NA,NA,NA,0.0655,0.0696,69.49,"13/09/18",NA,"Negative",FALSE,-9.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"123.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,0,0
"530","AA_0574","M",12.6278,52.7269,2018,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"14/09/18",0.04,10,NA,NA,0,0,"Warsowerstr. 8, 14662","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",19.4,85.41,NA,0.0237,0.97,NA,NA,NA,NA,NA,0.0904,0.0881,89.15,"13/09/18",NA,"Negative",FALSE,-8.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"100.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,0
"531","AA_0575","F",14.0736,52.9308,2018,"m",NA,"mm","mm",NA,"dd","mm","mm","94/100","95","125","120","100","80","dm","mm","mm","mm","dd","mm",12,0.7826086957,"14/09/18",0.0327,0,NA,NA,0,0,"Dorfstrasse 44, 16248","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",11.66,69.13,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,67.05,"13/09/18",NA,"Negative",FALSE,-11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"111.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"532","AA_0576","F",12.6278,52.7269,2018,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"14/09/18",0.0451,1,NA,NA,0,0,"Warsowerstr. 8, 14662","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",17.85,82.35,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,81.59,"13/09/18",NA,"Negative",FALSE,-10.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"83.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"533","AA_0577","F",12.6278,52.7269,2018,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"14/09/18",0.0357,0,NA,NA,0,0,"Warsowerstr. 8, 14662","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",17.51,79.77,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,87.71,"13/09/18",NA,"Negative",FALSE,-9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"197.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"534","AA_0578","F",14.0922,52.2125,2018,"d",NA,"mm","dm","dd","dm","dd","dm","100","95","125","100","70/100","80","mm","mm","mm","dd","dm","mm",13,0.56,"14/09/18",0.0178,0,NA,NA,0,0,"Beeskower str. 24, 15848","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",15.06,82.84,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,78.83,"13/09/18",NA,"Negative",FALSE,-8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.25,10716,"263.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"535","AA_0579","M",14.0922,52.2125,2018,"d","m","m","m","m","m","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",14,0.95,"14/09/18",0.0204,0,NA,NA,0,0,"Beeskower str. 24, 15848","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",15.81,78.88,NA,0.0199,0.54,NA,NA,NA,NA,NA,0.0727,0.071,70,"13/09/18",NA,"E_ferrisi",TRUE,-0.100000000000001,NA,NA,22.2745876304091,NA,24.4130166376348,NA,NA,NA,17.1954424117437,15.5452465310171,18.5549260790197,19.9536393778492,NA,19.0180294970176,22.0653932250942,16.8279065304763,NA,17.4190484784521,NA,21.4511121428089,NA,NA,23.4765272890164,NA,NA,22.9195118119599,23.1741199564808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11,102,"139.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0
"536","AA_0580","M",14.0922,52.2125,2018,"d","m","m","m","m","m","d","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.75,"14/09/18",0.1965,1,NA,NA,0,0,"Beeskower str. 24, 15848","adult",NA,NA,TRUE,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",23.21,86.96,NA,0.0307,0.94,NA,NA,NA,NA,NA,0.0377,0.0814,82.3,"13/09/18",NA,"Negative",FALSE,-8.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.21,372,"199.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,53,87,0,0
"537","AA_0581","M",12.6278,52.7269,2018,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"14/09/18",0.0296,0,NA,NA,0,0,"Warsowerstr. 8, 14662","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",15.98,78.45,NA,0.0282,0.14,NA,NA,NA,NA,NA,0.0748,0.0714,85.79,"13/09/18",NA,"Negative",FALSE,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"132.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"538","AA_0582","F",12.6278,52.7269,2018,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"14/09/18",0.06,0,NA,NA,0,0,"Warsowerstr. 8, 14662","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",23.81,91,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,82,"13/09/18",NA,"Negative",FALSE,-11.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"129.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"539","AA_0583","M",12.6278,52.7269,2018,"d","d","d","d","d","d","d","d",NA,"100","100","100","100","100",NA,"dd","dd","dd","dd","dd",13,0,"14/09/18",0.05,0,NA,NA,0,0,"Warsowerstr. 8, 14662","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",14.25,77,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,82,"13/09/18",NA,"Negative",FALSE,-8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"282.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"540","AA_0584","M",12.6278,52.7269,2018,"d","d","d","d","d","d","d","d",NA,"100","100","100","100","100",NA,"dd","dd","dd","dd","dd",13,0,"14/09/18",0.03,0,NA,NA,0,0,"Warsowerstr. 8, 14662","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"dom",15.33,76,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,76,"13/09/18",NA,"Negative",FALSE,-7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"92.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"541","AA_0585","F",13.3047,52.9936,2018,"m",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0.04,"14/09/18",0.04,33,NA,NA,0,0,"Mildenberger str. 1, 16792","pregnant",2,2,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"DyM",22.3,86,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,77,"13/09/18",NA,"Negative",FALSE,-8.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,286,"221.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"542","AA_0586","M",14.0922,52.2125,2018,"d","m","d","m","m","m","d","m",NA,"95","125","120","100","100",NA,"mm","mm","mm","dd","dd",13,0.6111111111,"14/09/18",0.01,0,NA,NA,0,0,"Beeskower str. 24, 15848","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",6.2,57,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,54,"13/09/18",NA,"Negative",FALSE,-10.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"72.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"543","AA_0587","F",14.0922,52.2125,2018,"d",NA,"mm","mm","mm","mm","dd","mm","100","95","125","100","70/100","100","mm","mm","mm","dd","dm","dd",13,0.68,"14/09/18",0.1,205,NA,NA,0,0,"Beeskower str. 24, 15848","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",17.85,78,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,70,"13/09/18",NA,"Negative",FALSE,-10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"250.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"544","AA_0588","M",14.0922,52.2125,2018,"d","m","m","m","m","m","d","m",NA,"95","125","120","100","100",NA,"mm","mm","mm","dd","dd",13,0.6666666667,"14/09/18",0.01,0,NA,NA,0,0,"Beeskower str. 24, 15848","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",6.21,57,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,57,"13/09/18",NA,"Negative",FALSE,-8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"104.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"545","AA_0589","M",14.0922,52.2125,2018,"d","m","d","d","m","m","m","d","94","95","125","120","90/100","100","dd","mm","mm","mm","dm","dd",14,0.55,"14/09/18",0.01,0,NA,NA,0,0,"Beeskower str. 24, 15848","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",8.04,61,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,65,"13/09/18",NA,"Negative",FALSE,-8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,1269,"80.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"546","AA_0590","F",14.0922,52.2125,2018,"d",NA,"mm","mm",NA,"mm","mm","dm",NA,"95","125","100","70","100",NA,"mm","mm","dd","mm","dd",11,0.7142857143,"14/09/18",0.01,0,NA,NA,0,0,"Beeskower str. 24, 15848","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",7.17,57,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,61,"13/09/18",NA,"Negative",FALSE,-8.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"146.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"547","AA_0591","M",14.0922,52.2125,2018,"d","m","d","d","d","m","m","d","100",NA,"125","120","70","100","mm",NA,"mm","mm","mm","dd",13,0.6111111111,"14/09/18",0.01,0,NA,NA,0,0,"Beeskower str. 24, 15848","juvenile",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,83333.33,4,"mus",6.96,62,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,62,"13/09/18",NA,"E_ferrisi",TRUE,3.25,NA,NA,22.9594717877915,NA,21.5551967696236,NA,-2.13666666666667,NA,18.105398791882,11.5704661661998,17.1252566161873,NA,NA,13.1920030948825,22.5558153980895,15.2258030375258,NA,9.97328259542974,NA,17.6871796046088,NA,NA,NA,NA,20.0695254467207,16.3006254731966,18.6943166538999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"172.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"548","AA_0592","F",14.1011,52.9456,2018,"m",NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",13,0.88,"14/09/18",0.03,0,NA,NA,0,0,"Wernbergstrasse, 16248","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",13.93,75,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,79,"13/09/18",NA,"Negative",FALSE,-6.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"544.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"549","AA_0593","F",14.0747,52.8169,2018,NA,NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",12,0.9166666667,"14/09/18",0.03,4,NA,NA,0,0,"Gabow 67, 16259","pregnant",4,1,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",15.08,79,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,89,"13/09/18",NA,"Negative",FALSE,-9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"91.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"550","AA_0594","M",14.0806,53.0336,2018,"d","m","m","m","m","d","m","m",NA,"95","125","120","90/100","80",NA,"mm","mm","mm","dm","mm",13,0.8333333333,"15/09/18",0.0239,0,NA,NA,0,0,"Felchower str. 15","adult",NA,NA,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",18.08,79.3,NA,0.0234,0.36,NA,NA,NA,NA,NA,0.0676,0.0663,86.5,"14/09/18",NA,"Negative",FALSE,-9.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"1,462.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"551","AA_0595","M",14.0806,53.0336,2018,"d","m","m","m","m","d",NA,"m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",13,0.8421052632,"15/09/18",0.0224,0,NA,NA,0,0,"Felchower str. 15","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",11.88,75.2,NA,0.0109,0.35,NA,NA,NA,NA,NA,0.0518,0.0533,71.2,"14/09/18",NA,"Negative",FALSE,-8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"197.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"552","AA_0596","M",14.0744,52.9906,2018,"d","m","m","m","m","d","m","m","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",14,0.9,"15/09/18",0.0331,0,NA,NA,0,0,"Gellmersdorfer str. 15","adult",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"mus",16.94,81,NA,0.0221,0.52,NA,NA,NA,NA,NA,0.0673,0.0644,81.1,"14/09/18",NA,"Negative",FALSE,-8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"300.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
