Mouse_ID,Ct_1,Ct_2,Ct_mean,Oocyts_1,Oocyst_2,Oocyst_mean,Oocyst_calculated,Final_Oocyst_calculated
AA_0163,0,0,0,0,0,0,0,0
AA_0164,0,0,0,0,0,0,0,0
AA_0165,4.79,0,0,9.87E+09,0,0,0,0
AA_0166,35.4,36.08,35.74,1786,1266,1526,829.9417631,830
AA_0167,30.69,29.92,30.31,19421,28723,24072,16289.38777,16289
AA_0168,6.76,0,0,3.64E+09,0,0,0,0
AA_0169,29.54,29.66,29.6,34888,32750,33819,24040.99184,24041
AA_0170,0,0,0,0,0,0,0,0
AA_0171,31.31,29.36,30.33,14234,38122,26178,16111.75529,16112
AA_0172,8.12,39.36,23.74,1.83E+09,240,9.15E+08,597297.1963,597297
AA_0173,7.61,36.76,22.18,2.37E+09,893,1.19E+09,1404814.715,1404815
AA_0174,7.17,12.41,9.79,2.96E+09,2.07E+08,1.58E+09,1252042432,1252042432
AA_0175,6.53,0,0,4.09E+09,0,0,0,0
AA_0176,7.39,6.62,7.01,2.64E+09,3.90E+09,3.27E+09,5748093310,5748093310
AA_0177,6.76,0,0,3.64E+09,0,0,0,0
AA_0178,7.39,0,0,2.64E+09,0,0,0,0
AA_0179,10.5,39.9,25.2,5.46E+08,182,2.73E+08,268269.5795,268270
AA_0180,7.71,0,0,2.25E+09,0,0,0,0
AA_0181,4.96,10.08,7.52,9.06E+09,6.76E+08,4.87E+09,4346055200,4346055200
AA_0182,7.37,0,0,2.67E+09,0,0,0,0
AA_0183,39.78,0,0,193,0,0,0,0
AA_0184,6.93,0,0,3.35E+09,0,0,0,0
AA_0185,15.97,6.29,11.13,3.40E+07,4.62E+09,2.33E+09,600580778.5,600580779
AA_0186,0,0,0,0,0,0,0,0
AA_0187,0,0,0,0,0,0,0,0
AA_0188,0,0,0,0,0,0,0,0
AA_0189,0,0,0,0,0,0,0,0
AA_0190,9.92,0,0,7.34E+08,0,0,0,0
AA_0191,5.19,0,0,8.06E+09,0,0,0,0
AA_0192,7.73,0,0,2.22E+09,0,0,0,0
AA_0193,6.81,0,0,3.55E+09,0,0,0,0
AA_0194,6.7,0,0,3.76E+09,0,0,0,0
AA_0195,0,0,0,0,0,0,0,0
AA_0196,0,0,0,0,0,0,0,0
AA_0197,0,0,0,0,0,0,0,0
AA_0198,0,0,0,0,0,0,0,0
AA_0199,0,0,0,0,0,0,0,0
AA_0200,9.76,0,0,7.97E+08,0,0,0,0
AA_0201,6.45,0,0,4.25E+09,0,0,0,0
AA_0202,38.91,0,0,300,0,0,0,0
AA_0203,36.98,0,0,800,0,0,0,0
AA_0203,0,0,0,0,0,0,0,0
AA_0205,33.75,0,0,375,0,0,0,0
AA_0206,0,0,0,0,0,0,0,0
AA_0207,31.82,30.67,31.24,1244,2561,1903,9783.09319,9783
AA_0208,38.05,38.74,38.4,25.5,16.6,21,193.0697729,193
AA_0209,29.24,27.7,28.47,6242,16304,11273,44668.35922,44668
AA_0210,8.41,0,0,2.77E+09,0,0,0,0
AA_0211,37.27,37.62,37.44,41.6,33.3,37.4,326.8027589,327
AA_0237,0,0,0,0,0,0,0,0
AA_0238,37.69,0,0,0,0,0,0,0
AA_0239,37.24,0,0,0,0,0,0,0
AA_0240,0,0,0,0,0,0,0,0
AA_0241,37.76,0,0,0,0,0,0,0
AA_0243,0,0,0,0,0,0,0,0
AA_0244,38.3,0,0,0,0,0,0,0
AA_0246,8.69,0,0,0,0,0,0,0
AA_0247,5.99,0,0,0,0,0,0,0
AA_0248,30.46,0,0,0,0,0,0,0
AA_0249,36.74,0,0,0,0,0,0,0
AA_0250,30.28,31.31,30.79,0,0,0,12520.42432,12520
AA_0251,37.53,36.45,36.99,0,0,0,418.2428944,418
AA_0252,0,0,0,0,0,0,0,0
AA_0255,0,0,0,0,0,0,0,0
AA_0256,30.48,30.08,30.28,0,0,0,16559.51523,16560
AA_0257,36.03,38.29,37.16,0,0,0,381.024043,381
AA_0258,34.47,0,0,0,0,0,0,0
AA_0259,37.08,36.1,36.59,0,0,0,520.7948329,521
AA_0260,0,0,0,0,0,0,0,0
AA_0261,0,0,0,0,0,0,0,0
AA_0263,35.8,0,0,0,0,0,0,0
AA_0264,0,0,0,0,0,0,0,0
AA_0265,0,0,0,0,0,0,0,0
AA_0266,32.85,32.77,32.81,0,0,0,4136.820402,4137
AA_0268,0,0,0,0,0,0,0,0
AA_0269,31.84,32.23,32.03,0,0,0,6344.2597,6344
AA_0270,39.24,0,0,0,0,0,0,0
AA_0271,35.55,0,0,0,0,0,0,0
AA_0272,35.87,33.29,34.58,0,0,0,1567.610253,1568
AA_0272,0,0,34.58,0,0,0,1567.610253,1568
AA_0273,34.8,0,0,0,0,0,0,0
AA_0274,0,0,0,0,0,0,0,0
AA_0275,0,0,0,0,0,0,0,0
AA_0276,0,0,0,0,0,0,0,0
AA_0277,38,0,0,0,0,0,0,0
AA_0278,37.88,28.21,33.04,0,0,0,3646.739674,3647
AA_0279,0,0,0,0,0,0,0,0
AA_0280,0,0,0,0,0,0,0,0
AA_0281,0,0,0,0,0,0,0,0
AA_0282,29.71,27.9,28.8,0,0,0,37275.9372,37276
AA_0283,27.1,28.53,27.81,0,0,0,64142.05312,64142
AA_0284,34.9,37.11,36.01,0,0,0,715.7509033,716
AA_0285,32.33,35.16,33.74,0,0,0,2484.494818,2484
AA_0286,28.94,29.96,29.45,0,0,0,26101.57216,26102
AA_0288,36.98,0,0,0,0,0,0,0
AA_0289,0,0,0,0,0,0,0,0
AA_0290,0,0,0,0,0,0,0,0
AA_0290,38.86,0,0,0,0,0,0,0
AA_0291,38.37,0,0,0,0,0,0,0
AA_0291,31.28,30.75,31.01,0,0,0,11097.8307,11098
AA_0292,35.35,34.45,34.9,0,0,0,1315.36905,1315
AA_0295,37.48,15.35,26.41,0,0,0,138189.8643,138190
AA_0296,35.44,32.84,34.14,0,0,0,1995.262315,1995
AA_0297,12.05,0,0,0,0,0,0,0
AA_0298,0,0,0,0,0,0,0,0
AA_0299,19.71,0,0,0,0,0,0,0
AA_0300,0,0,0,0,0,0,0,0
AA_0301,0,0,0,0,0,0,0,0
AA_0303,6.9,0,0,0,0,0,0,0
AA_0304,7.97,0,0,0,0,0,0,0
AA_0304,0,0,0,0,0,0,0,0
AA_0305,7.96,0,0,0,0,0,0,0
AA_0306,0,0,0,0,0,0,0,0
AA_0307,8.94,0,0,0,0,0,0,0
AA_0308,36.37,35.94,36.15,0,0,0,662.8703162,663
AA_0309,0,0,0,0,0,0,0,0
AA_0310,30.54,30.43,30.49,0,0,0,14758.68349,14759
AA_0311,0,0,0,0,0,0,0,0
