"","X","Mouse_ID","qPCR_Date","Tested_by","Machine","Measurements","Ct_mean_Ep","Ct_mean_ABI","Ct_mean","Oocyst_Predict","Crypto_Positive","ILWE_Tissue_used_up","ILWE_DNA_Content_ng.microliter","Sex","Longitude","Latitude","Year","HI_NLoci","HI","mus_caught","Crypto_mus_caught","Top_Location","Infection_Rate"
"61",885,"AA_0905",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,388.4,"M",13.4765,53.0008,2021,NA,NA,1,0,FALSE,0
"62",886,"AA_0910",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,269.4,"M",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"63",887,"AA_0868",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,254.9,"M",13.955,52.8043,2021,NA,NA,3,0,FALSE,0
"64",888,"AA_0865",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,270.4,"F",13.5558,52.9206,2021,NA,NA,6,0,FALSE,0
"65",889,"AA_0901",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,299.1,"M",14.0833,52.6967,2021,NA,NA,5,0,FALSE,0
"66",890,"AA_0921",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,140.2,"F",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"67",891,"AA_0887",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,387.2,"M",13.6599,52.7371,2021,NA,NA,11,0,FALSE,0
"68",892,"AA_0893",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,223.8,"M",14.0953,52.7392,2021,NA,NA,12,2,FALSE,0.166666666666667
"69",893,"AA_0876",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,335.3,"F",13.8756,52.6053,2021,NA,NA,19,1,FALSE,0.0526315789473684
"70",894,"AA_0949",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,272.3,"M",13.2125,52.9461,2021,NA,NA,7,0,FALSE,0
"71",895,"AA_0875",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,209.7,"F",13.8756,52.6053,2021,NA,NA,19,1,FALSE,0.0526315789473684
"72",896,"AA_0947",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,286.5,"F",13.2125,52.9461,2021,NA,NA,7,0,FALSE,0
"73",897,"AA_0883",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,282.6,"M",13.6599,52.7371,2021,NA,NA,11,0,FALSE,0
"74",898,"AA_0923",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,301.8,"M",13.7305,52.7463,2021,NA,NA,7,0,FALSE,0
"75",899,"AA_0931",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,222,"F",13.7316,52.9757,2021,NA,NA,9,0,FALSE,0
"76",900,"AA_0936",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,377.7,"M",13.7328,52.9787,2021,NA,NA,10,1,FALSE,0.1
"77",901,"AA_0942",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,231,"M",13.2839,52.9576,2021,NA,NA,6,0,FALSE,0
"78",902,"AA_0869",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,268.6,"M",13.6763,52.4979,2021,NA,NA,5,0,FALSE,0
"79",903,"AA_0859",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,58.8,"M",14.1693,52.7361,2021,NA,NA,1,0,FALSE,0
"80",904,"AA_0894",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,518.4,"F",14.0953,52.7392,2021,NA,NA,12,2,FALSE,0.166666666666667
"81",905,"AA_0870",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,157.5,"F",13.5558,52.9206,2021,NA,NA,6,0,FALSE,0
"82",906,"AA_0919",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,381.6,"F",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"83",907,"AA_0933",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,392.8,"M",13.7316,52.9757,2021,NA,NA,9,0,FALSE,0
"84",908,"AA_0872",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,439.4,"F",13.8756,52.6053,2021,NA,NA,19,1,FALSE,0.0526315789473684
"85",909,"AA_0907",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,60.9,"M",13.7306,52.7465,2021,NA,NA,11,0,FALSE,0
"86",910,"AA_0937",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,576,"M",13.7328,52.9787,2021,NA,NA,10,1,FALSE,0.1
"87",911,"AA_0880",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,250.7,"F",13.8756,52.6053,2021,NA,NA,19,1,FALSE,0.0526315789473684
"88",912,"AA_0930",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,346.7,"F",13.7316,52.9757,2021,NA,NA,9,0,FALSE,0
"89",913,"AA_0877",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,195.6,"M",13.6763,52.4979,2021,NA,NA,5,0,FALSE,0
"90",914,"AA_0917",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,272.8,"F",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
