Mouse_ID,Location,Latitude,Longitude,Country,HI,GP60_Subtype,Actin_Subtype,COWP_Subtype,TRAP-C1_Subtype,GP60,Actin_ID,COWP_ID,TRAP-C1_ID
NZ_1632,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,,T2,,,,JQ073524
NZ_1633,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,A3,C2,T2,JQ073447,JQ073413 A3,JQ073440,JQ073525
NZ_1634,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,C2,T2,JQ073448,,JQ073441,JQ073526
NZ_1635,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,,T2,JQ073449,,,JQ073527
NZ_1636,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,,T2,JQ073450,,,JQ073528
NZ_1637,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,C2,,,,JQ073442,
NZ_1638,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,C2,,,,JQ073443,
NZ_1639,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,,T2,JQ073451,,,JQ073529
NZ_1640,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,,T2,JQ073452,,JQ073444,JQ073530
NZ_1641,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,C2,,JQ073453,,JQ073445,
NZ_1642,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,C2,,JQ073454,,JQ073446,
NZ_1643,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,,C2,,,,,
NZ_1644,Christchurch,-43.5323369,172.6155362,New Zealand,NA,IXb,A3,,,JQ073455,JQ073414 A3,,
CR_3175,Kvetna,49.72946055,16.36703899,Czech Republic,0.99,IXa,,,,,,,
CR_2084,Krasne Udoli,50.07245211,12.92013922,Czech Republic,0.98,IXa,A1,C1,T1,JQ073471,JQ073410,JQ073432,JQ073552
CR_2085,Krasne Udoli,50.07245211,12.92013922,Czech Republic,0.97,IXa,A1,C1,T1,JQ073465,JQ073411,JQ073436,JQ073553
CR_2126,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,A1,C1,,JQ073466,JQ073409,JQ073437,
CR_2127,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,,,,JQ073467,,,
CR_2152,Buskovice,49.50198911,16.65832349,Czech Republic,0.97,IXa,,,T1,,,,JQ073554
CR_2125,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,A1,C1,T1,JQ073462,JQ073407,JQ073434,JQ073550
CR_2128,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,A1,C1,T1,JQ073464,JQ073408,JQ073433,JQ073549
CR_2090,Buskovice,49.50198911,16.65832349,Czech Republic,0.97,IXa,A1,C1,T1,JQ073472,JQ073412,JQ073431,JQ073548
CR_2149,Zihle,50.04396639,13.35678415,Czech Republic,0.97,IXa,A1,C1,T1,JQ073463,JQ073406,JQ073435,JQ073547
CR_2206,Verusicky,50.14816633,13.14419143,Czech Republic,0.97,IXa,A1,C1,T1,JQ073478,JQ073404,JQ073438,JQ073551
CR_2208,Verusicky,50.14816633,13.14419143,Czech Republic,0.97,IXa,A1,C1,T1,JQ073479,JQ073405,JQ073439,JQ073555
CR_2163,Hurka,49.76523304,14.65709881,Czech Republic,0.14,IXb,A2,C2,T2,JQ073469,JQ073401,JQ073429,JQ073544
CR_4293,Hurka,49.76523304,14.65709881,Czech Republic,0.14,IXb,A2,C2,T2,JQ073481,JQ073402,JQ073430,JQ073546
G_2103,Hohenberg,50.10553691,12.1640977,Germany,0.09,IXb,A2,C2,T2,JQ073461,JQ073399,JQ073428,JQ073542
G_2134,Wolfsbühl,49.02194261,10.40731901,Germany,0.06,IXb,A2,C2,T2,JQ073457,JQ073388,JQ073423,JQ073534
G_2174,Neuenreuth,50.0876137,12.13393377,Germany,0.05,IXb,,C2,T2,JQ073482,,JQ073427,JQ073541
G_2194,Braunersgrün,50.08506775,12.0988909,Germany,0.05,IXb,,,,,,,
G_2160,Braunersgrün,50.08506775,12.0988909,Germany,0.05,IXb,A2,C2,T2,JQ073468,JQ073400,JQ073426,JQ073543
G_2169,HebaNZ_,50.11729136,12.03834731,Germany,0.04,IXb,A2,C2,,JQ073475,JQ073393,JQ073417,
G_2181,Lehsten,50.2502007,11.6570339,Germany,0.03,IXb,,,,,,,
G_2108,HebaNZ_,50.11729136,12.03834731,Germany,0.03,IXb,A2,C2,T2,JQ073474,JQ073396,JQ073416,JQ073537
G_2110,Lehsten,50.2502007,11.6570339,Germany,0.02,IXb,A2,C2,T2,,JQ073397,JQ073415,JQ073532
G_2116,Straas,50.1785197,11.76864103,Germany,0.02,IXb,,,,JQ073459,,,
G_2117,Straas,50.1785197,11.76864103,Germany,0.02,IXb,,,,,,,
G_2120,Lehsten,50.2502007,11.6570339,Germany,0.02,IXb,A2,C2,,JQ073456,JQ073389,JQ073420,
G_2099,Straas,50.1785197,11.76864103,Germany,0.02,IXb,A2,C2,T2,JQ073473,JQ073395,JQ073418,JQ073538
