Mouse_ID,Location,Latitude,Longitude,Country,HI,GP60_ID,GP60_Subtype,GP60_Subtype_Protein,Actin_Subtype,COWP_Subtype,TRAP_C1_Subtype,MSC6_Subtype,GST_Subtype,SKSR_Subtype,MEDLE_Subtype,CP56_Subtype,Actin_ID,COWP_ID,TRAP-C1_ID
AA_0534,,52.9574,13.2829,Germany,0.10,,IXb,IXb.E,,,NA,NA,NA,NA,NA,NA,,,
AA_0537,,52.7947,12.7797,Germany,0.05,,IXb,IXb.E,,,NA,NA,NA,NA,NA,NA,,,
AA_0545,,52.3975,14.0678,Germany,0.85,,IXb,IXb.B,,,NA,NA,NA,NA,NA,NA,,,
AA_0546,,52.7369,13.66,Germany,0.10,,NA,IXb,,,T1,NA,NA,NA,NA,NA,,,
AA_0553,,52.8328,14.0908,Germany,0.89,,IXb,IXb.B,,,NA,NA,NA,NA,NA,NA,,,
AA_0554,,52.8328,14.0908,Germany,0.88,,IXb,IXb.B,,,NA,NA,NA,NA,NA,NA,,,
AA_0571,,52.9936,13.3047,Germany,0.10,,NA,IXb,,,T2,NA,NA,NA,NA,NA,,,
AA_0578,,52.2125,14.0922,Germany,0.56,,IXb,IXb.B,,,T1,NA,NA,NA,NA,NA,,,
AA_0580,,52.2125,14.0922,Germany,0.75,,IXb,IXb.B,,,T1,NA,NA,NA,NA,NA,,,
AA_0585,,52.9936,13.3047,Germany,0.04,,IXb,IXb.E,,,NA,NA,NA,NA,NA,NA,,,
AA_0589,,52.2125,14.0922,Germany,0.55,,NA,IXb,,,T1,NA,NA,NA,NA,NA,,,
AA_0667,,53.0706,14.0939,Germany,0.84,,NA,IXb.B,,,T2,MS1,NA,NA,NA,NA,,,
AA_0689,,52.9789,13.7325,Germany,0.69,,IXb,IXb.B,,,NA,MS1,NA,NA,NA,NA,,,
AA_0793,,53.1422,13.9533,Germany,0.87,,IXb,IXb.B,,,NA,MS1,NA,NA,NA,NA,,,
AA_0805,,53.1422,13.9533,Germany,0.81,,IXb,IXb.B,,,NA,MS1,NA,NA,NA,NA,,,
AA_0900,,52.6967,14.0833,Germany,NA,,IXb,IXb.B,,,NA,MS1,G1,S1,ME1,NA,,,
CR_2152,Buskovice,49.50198911,16.65832349,Czech Republic,0.97,,IXa,IXa,,,T1,,,,,,,,JQ073554
CR_3175,Kvetna,49.72946055,16.36703899,Czech Republic,0.99,,IXa,IXa,,,,,,,,,,,
G_2110,Lehsten,50.2502007,11.6570339,Germany,0.02,,IXb,IXb,A2,C2,T2,,,,,,JQ073397,JQ073415,JQ073532
G_2117,Straas,50.1785197,11.76864103,Germany,0.02,,IXb,IXb,,,,,,,,,,,
G_2181,Lehsten,50.2502007,11.6570339,Germany,0.03,,IXb,IXb,,,,,,,,,,,
G_2194,Braunersgrün,50.08506775,12.0988909,Germany,0.05,,IXb,IXb,,,,,,,,,,,
G_2203,,,,,,,,,,,,,,,,,,,JQ073540
NZ_1632,Christchurch,-43.5323369,172.6155362,New Zealand,NA,,IXb,IXb.B,,,T2,,,,,,,,JQ073524
NZ_1637,Christchurch,-43.5323369,172.6155362,New Zealand,NA,,IXb,IXb.B,,C2,,,,,,,,JQ073442,
NZ_1638,Christchurch,-43.5323369,172.6155362,New Zealand,NA,,IXb,IXb.B,,C2,,,,,,,,JQ073443,
NZ_1643,Christchurch,-43.5323369,172.6155362,New Zealand,NA,,IXb,IXb.B,,C2,,,,,,,,,
RefSeq,"Athens, Georgia",33.95279862,-83.37230113,USA,NA,,IXb,IXb.A,,,,,,,,,,,
