Mouse_ID,Country,Longitude,Latitude,HI,GP60_Subtype,GP60_Ssp,COWP_Subtype,COWP_Ssp,MSC6_Subtype,GST_Subtype,CP56_Subtype,SKSR_Subtype,Actin_Subtype,TRAP_C1_Subtype,MEDLE_Subtype,GP60_ID,Actin_ID,COWP_ID,TRAP-C1_ID
CR_2126,Czech Republic,12.94091,50.09188,0.97,IXa,IXa,C1,C1,,,,,A1,,,JQ073466,JQ073409,JQ073437,
CR_2127,Czech Republic,12.94091,50.09188,0.97,IXa,IXa,,,,,,,,,,JQ073467,,,
CR_2128,Czech Republic,12.94091,50.09188,0.97,IXa,IXa,C1,C1,,,,,A1,T1,,JQ073464,JQ073408,JQ073433,JQ073549
CR_2149,Czech Republic,13.35678,50.04397,0.97,IXa,IXa,C1,C1,,,,,A1,T1,,JQ073463,JQ073406,JQ073435,JQ073547
CR_2152,Czech Republic,16.65832,49.50199,0.97,,,,,,,,,,T1,,,,,JQ073554
CR_2206,Czech Republic,13.14419,50.14817,0.97,IXa,IXa,C1,C1,,,,,A1,T1,,JQ073478,JQ073404,JQ073438,JQ073551
CR_2208,Czech Republic,13.14419,50.14817,0.97,IXa,IXa,C1,C1,,,,,A1,T1,,JQ073479,JQ073405,JQ073439,JQ073555
CR_2084,Czech Republic,12.92014,50.07245,0.98,IXa,IXa,C1,C1,,,,,A1,T1,,JQ073471,JQ073410,JQ073432,JQ073552
CR_3175,Czech Republic,16.36704,49.72946,0.99,,,,,,,,,,,,,,,
Tyz_UGA55,USA,-83.37230,33.95280,,IXb,IXb.1,C2,C2,MS1,G2,CP2,S2,A2,T1,ME,,,,
NZ_1644,New Zealand,172.61554,-43.53234,,IXb,IXb.1,,,,,,,A3,,,JQ073455,JQ073414 A3,,
NZ_1633,New Zealand,172.61554,-43.53234,,IXb,IXb.1,C2,C2,,,,,A3,T2,,JQ073447,JQ073413 A3,JQ073440,JQ073525
NZ_1634,New Zealand,172.61554,-43.53234,,IXb,IXb.1,C2,C2,,,,,,T2,,JQ073448,,JQ073441,JQ073526
NZ_1635,New Zealand,172.61554,-43.53234,,IXb,IXb.1,,,,,,,,T2,,JQ073449,,,JQ073527
NZ_1636,New Zealand,172.61554,-43.53234,,IXb,IXb.1,,,,,,,,T2,,JQ073450,,,JQ073528
NZ_1639,New Zealand,172.61554,-43.53234,,IXb,IXb.1,,,,,,,,T2,,JQ073451,,,JQ073529
NZ_1640,New Zealand,172.61554,-43.53234,,IXb,IXb.1,C2,C2,,,,,,T2,,JQ073452,,JQ073444,JQ073530
NZ_1642,New Zealand,172.61554,-43.53234,,IXb,IXb.1,C2,C2,,,,,,,,JQ073454,,JQ073446,
NZ_1641,New Zealand,172.61554,-43.53234,,IXb,IXb.1,C2,C2,,,,,,,,JQ073453,,JQ073445,
NZ_1637,New Zealand,172.61554,-43.53234,,,,C2,C2,,,,,,,,,,JQ073442,
NZ_1638,New Zealand,172.61554,-43.53234,,,,C2,C2,,,,,,,,,,JQ073443,
NZ_1632,New Zealand,172.61554,-43.53234,,,,,,,,,,,T2,,,,,JQ073524
NZ_1643,New Zealand,172.61554,-43.53234,,,,,,,,,,,,,,,,
