Mouse_ID,HI,GP,MS,G,CP,S,C,Actin,TRAP-C1,Hsp90,ME,GP60_ID,Actin_ID,COWP_ID,TRAP-C1_ID,Country,Longitude,Latitude
AA_0534,0.10,IXb.2,,,,,C2,,,,,,,,,Germany,13.28290,52.95740
AA_0546,0.10,,,,,,C1,,T1,H,,,,,,Germany,13.66000,52.73690
AA_0571,0.10,,,,,,C2,,T2,H,,,,,,Germany,13.30470,52.99360
CR_2163,0.14,IXb.2,,,,,C2,A2,T2,,,JQ073469,JQ073401,JQ073429,JQ073544,Czech Republic,14.65710,49.76523
CR_4293,0.14,IXb.2,,,,,C2,A2,T2,,,JQ073481,JQ073402,JQ073430,JQ073546,Czech Republic,14.65710,49.76523
AA_0282,0.17,IXb.3,MS2,G2,CP2,S2,,,,,ME,,,,,Germany,13.53530,52.89690
AA_0523,0.42,IXb.3,MS2,G2,,S2,,,,,ME,,,,,Germany,13.67951,51.67676
AA_0589,0.55,,,,,,C1,,,H,,,,,,Germany,14.09220,52.21250
AA_0578,0.56,,,,,,C1,,T1,H,,,,,,Germany,14.09220,52.21250
AA_0689,0.69,IXb.1,MS1,G1,CP1,S1,,,,,ME,,,,,Germany,13.73250,52.97890
AA_0209,0.74,IXb.1,MS1,G1,CP1,S1,,,,,ME,,,,,Germany,14.06720,52.40190
AA_0580,0.75,IXb.1,,,,,C1,,T1,H,,,,,,Germany,14.09220,52.21250
AA_0679,0.75,,,,,,C1,,,H,,,,,,Germany,14.08390,52.60810
AA_0325,0.80,IXb.1,PAR,,,,,,,,,,,,,Germany,13.44080,53.04970
AA_0805,0.81,IXb.1,MS1,G1,CP1,S1,,,,,ME,,,,,Germany,13.95330,53.14220
AA_0660,0.84,,,,,,C1,,,H,,,,,,Germany,14.14140,53.07830
AA_0666,0.84,,,,,,C1,,,,,,,,,Germany,14.14140,53.07830
AA_0667,0.84,IXb.1,MS1,G1,CP1,S1,C1,,T1,H,ME,,,,,Germany,14.09390,53.07060
AA_0545,0.85,IXb.1,,,,,C1,,,H,,,,,,Germany,14.06780,52.39750
AA_0559,0.86,,,,,,C1,,,H,,,,,,Germany,14.06780,52.39750
AA_0144,0.87,IXb.1,MS1,G1,CP1,S1,,,,,ME,,,,,Germany,14.08280,52.70000
AA_0900,0.94,IXb.1,MS1,G1,CP1,S1,,,,,ME,,,,,Germany,14.08330,52.69670
AA_0793,0.87,IXb.1,MS1,G1,CP1,,,,,,ME,,,,,Germany,13.95330,53.14220
AA_0554,0.88,IXb.1,,,,,C1,,,H,,,,,,Germany,14.09080,52.83280
AA_0555,0.88,,,,,,C1,,,H,,,,,,Germany,14.09080,52.83280
AA_0669,0.88,,,,,,MEL,,,MEL,,,,,,Germany,13.91060,52.93280
AA_0553,0.89,IXb.1,,,,,C1,,,H,,,,,,Germany,14.09080,52.83280
AA_0557,0.95,,,,,,C1,,,,,,,,,Germany,14.09080,52.83280
AA_0601,0.95,,,,,,C1,,,H,,,,,,Germany,13.96310,53.09890
CR_2085,0.97,IXa,,,,,C1,A1,T1,,,JQ073465,JQ073411,JQ073436,JQ073553,Czech Republic,12.92014,50.07245
CR_2090,0.97,IXa,,,,,C1,A1,T1,,,JQ073472,JQ073412,JQ073431,JQ073548,Czech Republic,16.65832,49.50199
CR_2125,0.97,IXa,,,,,C1,A1,T1,,,JQ073462,JQ073407,JQ073434,JQ073550,Czech Republic,12.94091,50.09188
CR_2126,0.97,IXa,,,,,C1,A1,,,,JQ073466,JQ073409,JQ073437,,Czech Republic,12.94091,50.09188
CR_2127,0.97,IXa,,,,,,,,,,JQ073467,,,,Czech Republic,12.94091,50.09188
CR_2128,0.97,IXa,,,,,C1,A1,T1,,,JQ073464,JQ073408,JQ073433,JQ073549,Czech Republic,12.94091,50.09188
CR_2149,0.97,IXa,,,,,C1,A1,T1,,,JQ073463,JQ073406,JQ073435,JQ073547,Czech Republic,13.35678,50.04397
CR_2152,0.97,,,,,,,,T1,,,,,,JQ073554,Czech Republic,16.65832,49.50199
CR_2206,0.97,IXa,,,,,C1,A1,T1,,,JQ073478,JQ073404,JQ073438,JQ073551,Czech Republic,13.14419,50.14817
CR_2208,0.97,IXa,,,,,C1,A1,T1,,,JQ073479,JQ073405,JQ073439,JQ073555,Czech Republic,13.14419,50.14817
CR_2084,0.98,IXa,,,,,C1,A1,T1,,,JQ073471,JQ073410,JQ073432,JQ073552,Czech Republic,12.92014,50.07245
CR_3175,0.99,,,,,,,,,,,,,,,Czech Republic,16.36704,49.72946
Tyz_UGA55,,IXb.2,MS1,G2,CP2,S2,C2,A2,T1,,ME,,,,,USA,-83.37230,33.95280
NZ_1644,,IXb.2,,,,,,A3,,,,JQ073455,JQ073414 A3,,,New Zealand,172.61554,-43.53234
NZ_1633,,IXb.2,,,,,C2,A3,T2,,,JQ073447,JQ073413 A3,JQ073440,JQ073525,New Zealand,172.61554,-43.53234
NZ_1634,,IXb.2,,,,,C2,,T2,,,JQ073448,,JQ073441,JQ073526,New Zealand,172.61554,-43.53234
NZ_1635,,IXb.2,,,,,,,T2,,,JQ073449,,,JQ073527,New Zealand,172.61554,-43.53234
NZ_1636,,IXb.2,,,,,,,T2,,,JQ073450,,,JQ073528,New Zealand,172.61554,-43.53234
NZ_1639,,IXb.2,,,,,,,T2,,,JQ073451,,,JQ073529,New Zealand,172.61554,-43.53234
NZ_1640,,IXb.2,,,,,C2,,T2,,,JQ073452,,JQ073444,JQ073530,New Zealand,172.61554,-43.53234
NZ_1642,,IXb.2,,,,,C2,,,,,JQ073454,,JQ073446,,New Zealand,172.61554,-43.53234
NZ_1641,,IXb.2,,,,,C2,,,,,JQ073453,,JQ073445,,New Zealand,172.61554,-43.53234
NZ_1637,,,,,,,C2,,,,,,,JQ073442,,New Zealand,172.61554,-43.53234
NZ_1638,,,,,,,C2,,,,,,,JQ073443,,New Zealand,172.61554,-43.53234
NZ_1632,,,,,,,,,T2,,,,,,JQ073524,New Zealand,172.61554,-43.53234
NZ_1643,,,,,,,,,,,,,,,,New Zealand,172.61554,-43.53234
