# File Name: Plate 3 NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-10 11:25:49 AM UTC
# Run End Date/Time: 2021-03-10 12:27:38 PM UTC
# Run Duration: 61 minutes 49 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-14 09:34:19 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-14 09:34:53 AM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"4","A4","25","137780.17","112175.08"
"4","A4","26","138039.75","112109.414"
"4","A4","27","138468.14","111985.46"
"4","A4","28","139945.84","111944.195"
"4","A4","29","141773.33","112110.66"
"4","A4","30","145399.52","111955.57"
"4","A4","31","152513.17","111908.984"
"4","A4","32","164803.84","112188.73"
"4","A4","33","185077.77","112179.13"
"4","A4","34","214407.94","112041.36"
"4","A4","35","252936.14","111963.08"
"4","A4","36","297898.47","112073.86"
"4","A4","37","345426.4","112159.77"
"4","A4","38","390725.28","112099.29"
"4","A4","39","431984.75","112005.92"
"4","A4","40","464921.2","112004.41"
"5","A5","1","119591.305","113705.75"
"5","A5","2","120214.98","114079.375"
"5","A5","3","121097.83","114706.39"
"5","A5","4","121339.516","114821.66"
"5","A5","5","122054.62","115121.586"
"5","A5","6","121746.65","115147.35"
"5","A5","7","121531.03","115383.93"
"5","A5","8","121756.445","115598.33"
"5","A5","9","122375.41","115589.53"
"5","A5","10","123532.0","115438.84"
"5","A5","11","123658.41","115374.695"
"5","A5","12","123384.55","115504.5"
"5","A5","13","123110.03","115476.38"
"5","A5","14","122724.81","115560.2"
"5","A5","15","121968.8","115425.55"
"5","A5","16","121883.68","115307.27"
"5","A5","17","122726.234","115402.65"
"5","A5","18","122887.164","115328.36"
"5","A5","19","123131.65","115393.984"
"5","A5","20","122655.02","115586.4"
"5","A5","21","122567.13","115462.516"
"5","A5","22","123294.06","115209.27"
"5","A5","23","123167.97","115141.1"
"5","A5","24","122973.49","115445.35"
"5","A5","25","123161.87","115302.89"
"5","A5","26","123516.805","115146.07"
"5","A5","27","124519.086","115222.98"
"5","A5","28","125399.67","115408.695"
"5","A5","29","126576.7","115249.305"
"5","A5","30","131375.97","115097.05"
"5","A5","31","138865.34","115068.18"
"5","A5","32","151333.78","114886.33"
"5","A5","33","173542.89","114788.11"
"5","A5","34","205204.1","114952.86"
"5","A5","35","246106.28","114993.555"
"5","A5","36","292728.16","115033.08"
"5","A5","37","342541.78","115014.805"
