# File Name: Plate 1 noQuench.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-08 01:14:55 PM UTC
# Run End Date/Time: 2021-03-08 02:16:07 PM UTC
# Run Duration: 61 minutes 11 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:01:55 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:03:59 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"18","B6","2","146148.42","28560.805","132499.84"
"19","B7","2","109675.48","27647.758","144283.27"
"20","B8","2","107423.375","26367.324","139808.98"
"21","B9","2","110548.25","26615.33","141325.28"
"22","B10","2","173871.08","26055.305","94186.93"
"23","B11","2","182786.75","26670.656","90741.76"
"24","B12","2","153758.7","26249.885","97697.91"
"25","C1","2","141675.86","30952.387","141088.7"
"26","C2","2","154463.03","30986.287","139284.81"
"27","C3","2","159479.67","30875.363","139594.61"
"28","C4","2","158366.19","29293.639","132297.22"
"29","C5","2","140672.39","26081.645","120951.13"
"30","C6","2","161796.52","30353.121","142209.48"
"31","C7","2","86834.57","27401.254","149428.16"
"32","C8","2","82849.74","25514.152","141636.16"
"33","C9","2","84495.59","26428.643","141626.58"
"34","C10","2","198335.9","29488.871","106409.805"
"35","C11","2","131130.11","20377.676","77764.664"
"36","C12","2","141961.48","23765.064","83834.19"
"37","D1","2","150624.36","31023.059","136678.69"
"38","D2","2","147730.36","30036.902","132939.38"
"39","D3","2","146819.8","28262.654","128788.414"
"40","D4","2","163402.67","30639.793","138202.42"
"41","D5","2","163615.05","30000.064","137243.9"
"42","D6","2","124142.4","22665.432","108588.0"
"43","D7","2","86447.58","27835.734","152461.25"
"44","D8","2","86731.55","25935.37","147011.31"
"45","D9","2","79657.84","23778.752","133050.06"
"46","D10","2","151134.97","24828.129","101991.97"
"47","D11","2","131464.88","22363.023","93548.89"
"48","D12","2","122592.93","22247.846","87893.17"
"49","E1","2","164501.4","31756.97","140183.12"
"50","E2","2","158937.95","31280.373","136845.5"
"51","E3","2","109201.69","21793.398","103600.62"
"52","E4","2","148196.88","27767.875","124308.07"
"53","E5","2","152006.19","28268.334","130035.33"
"54","E6","2","143055.1","26583.662","123200.445"
"55","E7","2","139806.44","29618.61","142299.16"
"56","E8","2","112339.01","23413.08","114377.016"
"57","E9","2","116306.625","24690.145","117199.98"
"58","E10","2","197893.33","26877.861","92243.25"
"59","E11","2","186352.34","25253.855","88419.625"
"60","E12","2","162200.48","24521.65","78850.82"
"61","F1","2","162937.5","32011.832","139738.53"
"62","F2","2","155098.58","29559.572","134171.38"
"63","F3","2","157246.53","28008.48","124083.125"
"64","F4","2","132810.1","24400.441","114324.11"
"65","F5","2","138718.38","25865.61","118011.56"
"66","F6","2","140172.05","25723.398","120749.695"
"67","F7","2","122658.484","30322.486","158556.02"
"68","F8","2","80990.59","20411.264","109891.4"
"69","F9","2","87649.99","22137.592","119298.77"
"70","F10","2","163219.08","23783.361","86761.445"
"71","F11","2","180338.5","26685.021","97464.336"
"72","F12","2","186929.75","29315.43","101403.53"
"73","G1","2","170363.77","34094.625","147586.08"
"74","G2","2","159994.47","30832.895","136489.4"
"75","G3","2","160127.72","28754.953","124723.42"
"76","G4","2","150330.52","28028.412","123876.85"
"77","G5","2","142051.56","26861.309","122551.13"
"78","G6","2","150521.98","27903.15","130513.91"
"79","G7","2","205000.84","28318.379","109921.24"
"80","G8","2","220996.77","31212.215","117947.37"
"81","G9","2","160302.92","23164.37","89147.73"
"82","G10","2","192918.3","27315.453","89771.63"
"83","G11","2","193311.75","28401.098","96005.375"
"84","G12","2","194612.7","30051.207","105873.59"
"85","H1","2","186317.03","38775.984","162527.53"
"86","H2","2","173825.33","35742.56","150335.4"
"87","H3","2","135849.06","27520.379","116940.19"
"88","H4","2","152758.08","30104.266","131418.06"
"89","H5","2","150030.81","29474.402","132891.27"
"90","H6","2","155290.88","28759.46","133881.81"
"91","H7","2","215296.61","29894.773","111550.39"
"92","H8","2","203596.55","28678.955","107204.99"
"93","H9","2","163765.48","23649.266","88238.92"
"94","H10","2","174693.56","24931.28","92697.61"
"95","H11","2","188338.28","27613.734","95979.77"
"96","H12","2","209383.47","30714.008","111726.33"
