# File Name: 1_AA_0858-0882_01.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 01:33:09 PM UTC
# Run End Date/Time: 2021-10-12 02:33:53 PM UTC
# Run Duration: 60 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 01:36:43 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 01:46:23 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"4","A4","25","143216.2","114521.44"
"4","A4","26","143213.6","114577.56"
"4","A4","27","143426.33","114466.516"
"4","A4","28","143658.89","114358.1"
"4","A4","29","143864.9","114322.13"
"4","A4","30","143945.03","114199.14"
"4","A4","31","144923.47","114130.1"
"4","A4","32","146501.03","114226.09"
"4","A4","33","149001.56","114270.3"
"4","A4","34","154946.7","114324.55"
"4","A4","35","164428.75","114198.57"
"4","A4","36","180417.53","113928.66"
"4","A4","37","203015.02","113789.59"
"4","A4","38","234475.28","113763.21"
"4","A4","39","269007.56","113894.445"
"4","A4","40","295886.12","113873.91"
"5","A5","1","127213.05","117267.31"
"5","A5","2","128160.664","117717.65"
"5","A5","3","128730.39","118410.13"
"5","A5","4","129229.63","118901.65"
"5","A5","5","129934.234","118984.52"
"5","A5","6","130030.41","119339.23"
"5","A5","7","130222.414","119305.99"
"5","A5","8","129565.78","119307.94"
"5","A5","9","129464.85","119471.63"
"5","A5","10","130321.68","119732.734"
"5","A5","11","130430.766","120081.836"
"5","A5","12","130687.67","119884.54"
"5","A5","13","130956.79","119658.82"
"5","A5","14","130639.11","119525.43"
"5","A5","15","130437.1","119383.38"
"5","A5","16","130784.25","119358.28"
"5","A5","17","131346.86","119161.445"
"5","A5","18","131244.88","119029.29"
"5","A5","19","130985.32","119140.98"
"5","A5","20","130593.83","119098.3"
"5","A5","21","129830.25","119046.55"
"5","A5","22","129406.7","118686.63"
"5","A5","23","129430.164","118463.81"
"5","A5","24","130288.51","118323.5"
"5","A5","25","130123.805","118180.82"
"5","A5","26","129160.13","118013.16"
"5","A5","27","128980.53","117881.14"
"5","A5","28","129646.94","117807.77"
"5","A5","29","129662.51","117666.016"
"5","A5","30","129568.875","117438.08"
"5","A5","31","129456.36","117348.24"
"5","A5","32","129662.84","117425.35"
"5","A5","33","130634.41","117368.46"
"5","A5","34","134389.86","117307.03"
"5","A5","35","139095.03","117369.66"
"5","A5","36","146258.52","117345.88"
"5","A5","37","158994.83","117403.516"
"5","A5","38","180971.6","117377.47"
"5","A5","39","207922.0","117446.31"
"5","A5","40","232946.1","117438.68"
"6","A6","1","124160.59","119826.94"
"6","A6","2","124161.695","119863.24"
"6","A6","3","124374.805","120595.36"
"6","A6","4","125348.2","120890.51"
"6","A6","5","126344.14","121190.58"
"6","A6","6","127858.94","121134.84"
"6","A6","7","127999.92","121094.0"
"6","A6","8","127817.766","121446.78"
"6","A6","9","127856.734","121443.08"
"6","A6","10","127856.08","121599.68"
"6","A6","11","127961.03","121887.47"
"6","A6","12","128119.914","121483.805"
"6","A6","13","128567.77","121317.195"
"6","A6","14","128353.69","121608.375"
"6","A6","15","128198.35","121751.05"
"6","A6","16","128583.18","121589.09"
"6","A6","17","128965.1","121315.266"
"6","A6","18","129049.16","121209.49"
"6","A6","19","129190.74","121400.62"
"6","A6","20","128996.4","121224.195"
"6","A6","21","128733.38","121020.2"
"6","A6","22","128460.35","120870.67"
"6","A6","23","128002.836","120746.24"
"6","A6","24","127751.414","120373.48"
"6","A6","25","127686.91","120002.664"
"6","A6","26","127745.266","119919.84"
"6","A6","27","128682.52","120117.06"
"6","A6","28","129414.43","120029.484"
"6","A6","29","129595.95","119932.86"
"6","A6","30","129810.63","119951.12"
"6","A6","31","130338.87","119878.25"
"6","A6","32","131473.58","119836.41"
"6","A6","33","135370.86","119975.96"
"6","A6","34","141061.66","119872.66"
"6","A6","35","151978.16","119692.41"
"6","A6","36","169829.38","119356.53"
"6","A6","37","195815.72","119213.71"
"6","A6","38","230870.53","119083.2"
"6","A6","39","269335.84","119131.83"
"6","A6","40","301015.4","119467.53"
"7","A7","1","47848.723","137918.3"
"7","A7","2","47900.168","138298.6"
"7","A7","3","48564.934","139682.08"
"7","A7","4","49279.4","140514.16"
"7","A7","5","50112.38","140661.27"
"7","A7","6","50845.973","141082.64"
"7","A7","7","50896.96","141364.4"
"7","A7","8","50734.13","141643.89"
"7","A7","9","50667.97","141742.44"
"7","A7","10","50543.973","141954.84"
"7","A7","11","50499.11","141978.45"
"7","A7","12","50893.695","141836.17"
"7","A7","13","50734.95","141711.92"
"7","A7","14","50058.63","141562.8"
"7","A7","15","50054.383","141565.38"
"7","A7","16","51082.395","141431.03"
"7","A7","17","51141.016","141217.2"
"7","A7","18","50660.535","141110.0"
"7","A7","19","50412.613","141012.06"
"7","A7","20","50377.586","140402.86"
"7","A7","21","50444.46","140023.28"
"7","A7","22","50338.92","139581.81"
"7","A7","23","50405.19","139403.53"
"7","A7","24","50681.66","139545.25"
"7","A7","25","50324.727","139677.98"
"7","A7","26","49749.312","139626.16"
"7","A7","27","49764.176","139725.55"
"7","A7","28","50838.055","139651.8"
"7","A7","29","51913.883","139719.0"
"7","A7","30","53745.53","139826.7"
"7","A7","31","56265.637","139504.81"
"7","A7","32","60688.883","139304.72"
"7","A7","33","68325.75","139328.42"
"7","A7","34","82012.98","139501.38"
"7","A7","35","103166.13","139414.22"
"7","A7","36","128573.11","139291.92"
"7","A7","37","156707.44","139148.98"
"7","A7","38","183093.36","139072.52"
"7","A7","39","205497.67","139166.34"
"7","A7","40","221952.38","139490.42"
"8","A8","1","56044.047","148253.28"
"8","A8","2","56572.34","148928.16"
"8","A8","3","56811.684","149882.62"
"8","A8","4","57152.21","150078.64"
"8","A8","5","57119.81","150211.72"
"8","A8","6","57166.15","150227.62"
"8","A8","7","57418.305","150224.72"
"8","A8","8","57539.176","150127.55"
"8","A8","9","57885.97","149940.62"
"8","A8","10","56469.797","149920.38"
"8","A8","11","56255.48","149818.98"
"8","A8","12","57320.33","149406.7"
"8","A8","13","57234.324","149016.14"
"8","A8","14","56222.71","148660.08"
"8","A8","15","55776.35","148295.67"
"8","A8","16","55280.434","147899.6"
"8","A8","17","55387.97","147572.6"
"8","A8","18","56551.27","147261.3"
"8","A8","19","56689.21","146682.4"
"8","A8","20","55532.67","146310.1"
"8","A8","21","55367.71","146024.92"
"8","A8","22","55835.902","145770.55"
"8","A8","23","54848.105","145577.28"
"8","A8","24","54741.707","145132.31"
"8","A8","25","55339.2","144660.28"
"8","A8","26","54866.984","144398.84"
"8","A8","27","54970.5","144279.11"
"8","A8","28","56217.246","144047.62"
"8","A8","29","57162.375","143686.72"
"8","A8","30","59254.58","143349.3"
"8","A8","31","62296.938","142984.36"
"8","A8","32","67704.195","142773.3"
"8","A8","33","78042.92","142596.38"
"8","A8","34","93757.336","142170.31"
"8","A8","35","116234.016","141828.64"
"8","A8","36","143995.88","141619.86"
"8","A8","37","171716.64","141224.2"
"8","A8","38","198429.5","140656.33"
"8","A8","39","219694.6","140587.53"
