Document Name: Plate2-05-03 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Friday, March 05, 2021 11:49:42
Last Modified: Friday, March 05, 2021 13:23:48
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
G8,AA 768,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
G9,AA 768,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
G10,AA 764,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
G11,AA 764,Crypto_18S_2,Unknown,Undetermined,,,,,,83.60
G12,AA 764,Crypto_18S_2,Unknown,Undetermined,,,,,,82.70
H1,NTC,Crypto_18S_2,NTC,Undetermined,,,,,,86.10
H2,NTC,Crypto_18S_2,NTC,Undetermined,,,,,,85.10
H3,NTC,Crypto_18S_2,NTC,Undetermined,,,,,,79.80
H4,AA 851,Crypto_18S_2,Unknown,Undetermined,,,,,,85.40
H5,AA 851,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
H6,AA 851,Crypto_18S_2,Unknown,Undetermined,,,,,,84.50
H7,AA 703,Crypto_18S_2,Unknown,33.36,0.105,,,,,86.90
H8,AA 703,Crypto_18S_2,Unknown,33.25,0.105,,,,,88.50
H9,AA 703,Crypto_18S_2,Unknown,33.15,0.105,,,,,88.20
H10,AA 783,Crypto_18S_2,Unknown,Undetermined,,,,,,79.50
H11,AA 783,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
H12,AA 783,Crypto_18S_2,Unknown,Undetermined,,,,,,80.10
