# File Name: 2_AA_0883-0914.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 04:33:06 PM UTC
# Run End Date/Time: 2021-10-12 05:33:44 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 04:41:02 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 09:46:00 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"18","B6","2","146511.0","24012.64","106309.71"
"19","B7","2","100567.055","23880.668","129953.805"
"20","B8","2","93964.95","21783.031","123310.65"
"21","B9","2","93135.06","22117.494","124637.62"
"22","B10","2","103065.69","22432.81","113945.24"
"23","B11","2","102515.445","21172.197","104262.9"
"24","B12","2","87214.41","22164.52","113326.47"
"25","C1","2","153481.39","26824.922","118842.0"
"26","C2","2","155129.81","27287.88","115753.63"
"27","C3","2","142754.86","24269.873","107170.54"
"28","C4","2","159937.39","25530.834","111492.58"
"29","C5","2","144748.77","23187.453","103463.31"
"30","C6","2","167193.94","25875.523","118298.805"
"31","C7","2","155405.3","29560.39","137803.62"
"32","C8","2","107225.14","25482.879","125463.625"
"33","C9","2","89958.07","22947.932","121444.12"
"34","C10","2","175849.4","28977.92","127807.54"
"35","C11","2","131985.61","21841.457","94235.08"
"36","C12","2","132850.7","23505.08","97080.99"
"37","D1","2","160308.33","28926.58","117418.44"
"38","D2","2","150822.95","26253.904","113458.1"
"39","D3","2","142224.78","23991.797","105858.375"
"40","D4","2","174919.3","28177.453","121281.305"
"41","D5","2","168170.77","26241.254","118369.22"
"42","D6","2","123444.164","19731.033","90422.74"
"43","D7","2","117632.36","25905.107","136789.06"
"44","D8","2","107945.086","23765.82","130831.625"
"45","D9","2","91643.93","21832.39","122183.95"
"46","D10","2","224944.34","31015.377","118750.625"
"47","D11","2","185571.28","27658.691","102953.98"
"48","D12","2","171174.44","26986.57","95993.57"
"49","E1","2","170531.28","29128.48","122594.11"
"50","E2","2","160954.97","26885.342","114411.54"
"51","E3","2","108583.49","19198.605","86171.89"
"52","E4","2","149789.42","24452.67","107895.875"
"53","E5","2","158581.25","25313.25","114608.086"
"54","E6","2","139616.81","22504.652","100765.47"
"55","E7","2","99556.15","24820.512","136667.81"
"56","E8","2","80287.45","19924.496","109998.46"
"57","E9","2","80021.82","20490.91","114512.305"
"58","E10","2","199318.02","30590.717","122115.85"
"59","E11","2","191122.75","29877.21","119699.75"
"60","E12","2","161022.36","27081.74","101875.0"
"61","F1","2","167634.11","29876.516","122804.91"
"62","F2","2","155128.34","26730.72","116235.17"
"63","F3","2","135656.0","21916.45","95253.35"
"64","F4","2","146519.86","23402.887","105422.26"
"65","F5","2","146047.97","24238.0","105427.44"
"66","F6","2","145794.92","22127.076","96706.78"
"67","F7","2","164893.58","29424.48","137305.61"
"68","F8","2","118724.48","20982.42","103895.68"
"69","F9","2","123747.87","21388.635","105260.85"
"70","F10","2","169764.48","25305.898","101713.18"
"71","F11","2","207480.42","31574.428","120653.51"
"72","F12","2","206436.34","32891.63","120216.984"
"73","G1","2","176378.06","31395.836","127684.85"
"74","G2","2","160929.34","28357.932","115818.99"
"75","G3","2","147787.45","24891.965","105901.34"
"76","G4","2","148305.42","24976.764","103660.51"
"77","G5","2","144852.16","23605.057","104237.48"
"78","G6","2","155257.08","24798.104","112262.41"
"79","G7","2","203256.19","29877.44","127102.22"
"80","G8","2","213078.17","31254.55","126881.016"
"81","G9","2","152598.75","22588.129","97000.02"
"82","G10","2","126714.37","23842.543","108839.39"
"83","G11","2","155338.02","27866.2","126816.055"
"84","G12","2","138773.28","27304.992","127722.57"
"85","H1","2","189479.22","33956.504","128368.08"
"86","H2","2","159541.14","28296.973","113221.26"
"87","H3","2","150359.72","25715.178","108318.17"
"88","H4","2","149506.52","25238.564","106947.67"
"89","H5","2","144731.7","24680.709","108339.664"
"90","H6","2","146936.05","23724.19","105969.61"
"91","H7","2","225331.83","32296.84","132279.16"
"92","H8","2","210052.14","30660.688","124059.195"
"93","H9","2","151912.98","22379.469","94314.52"
"94","H10","2","184195.64","29487.541","119577.08"
"95","H11","2","185546.16","31239.246","123336.76"
"96","H12","2","190280.92","29932.213","119574.76"
"1","A1","3","154493.42","26983.031","112149.68"
"2","A2","3","150595.7","25657.312","115737.53"
"3","A3","3","134804.66","24399.072","107758.03"
"4","A4","3","145365.94","24070.645","101376.25"
"5","A5","3","137927.62","23499.816","104906.32"
"6","A6","3","124394.91","21360.836","100221.195"
"7","A7","3","69663.32","21465.762","133621.95"
"8","A8","3","70582.76","21450.215","129401.88"
"9","A9","3","57904.69","19670.635","121702.83"
"10","A10","3","51838.86","17160.34","101387.836"
"11","A11","3","68255.625","20209.791","122176.586"
"12","A12","3","70859.625","21333.334","130693.17"
"13","B1","3","163110.0","29864.498","120523.61"
"14","B2","3","149377.48","26123.814","113189.7"
"15","B3","3","151087.05","24886.023","110404.62"
"16","B4","3","154291.52","24603.555","107234.6"
"17","B5","3","159388.02","26034.541","106054.984"
"18","B6","3","146918.44","23964.943","106446.22"
"19","B7","3","101645.3","24384.326","130018.47"
"20","B8","3","94618.516","21742.031","123366.59"
"21","B9","3","93020.31","22155.83","123998.97"
"22","B10","3","102438.52","22601.057","113753.02"
"23","B11","3","101827.48","20988.557","104621.21"
"24","B12","3","87651.164","21856.078","113493.69"
"25","C1","3","154781.4","26918.615","118562.79"
"26","C2","3","157377.38","26890.533","116246.78"
"27","C3","3","144560.64","24366.81","107662.29"
"28","C4","3","160597.25","25518.771","111757.734"
"29","C5","3","146937.17","23141.227","104127.28"
"30","C6","3","168239.92","26215.938","118986.2"
"31","C7","3","156153.38","29620.857","138201.97"
"32","C8","3","107224.33","25486.371","125783.03"
"33","C9","3","89942.125","22382.953","121413.04"
"34","C10","3","178395.67","28815.045","127774.65"
"35","C11","3","132680.11","21894.365","94506.91"
"36","C12","3","133280.83","23566.068","97101.91"
"37","D1","3","161112.23","28866.904","118173.55"
"38","D2","3","152212.06","27104.615","113547.68"
"39","D3","3","142364.36","24468.86","106195.96"
"40","D4","3","177498.8","27780.248","121886.12"
"41","D5","3","168757.62","26919.389","118954.195"
"42","D6","3","125880.9","19779.62","91064.23"
"43","D7","3","118430.3","26091.705","137594.42"
"44","D8","3","107712.6","23812.33","131171.36"
"45","D9","3","93223.445","22017.719","122371.875"
"46","D10","3","224175.58","31445.219","119243.11"
"47","D11","3","186523.33","27737.49","103347.83"
"48","D12","3","173237.1","26879.91","96256.56"
"49","E1","3","171212.42","29102.73","123090.97"
"50","E2","3","161813.89","26680.459","114608.98"
"51","E3","3","108886.13","18799.982","86284.76"
"52","E4","3","150940.7","24489.225","107981.53"
"53","E5","3","161020.33","25359.06","115028.766"
"54","E6","3","141299.55","22047.672","100902.61"
"55","E7","3","100066.47","24470.363","137415.42"
"56","E8","3","81204.02","20230.244","111031.6"
"57","E9","3","80017.87","20609.736","114852.39"
"58","E10","3","199300.38","30569.037","122696.24"
"59","E11","3","192745.52","30280.53","120254.625"
"60","E12","3","161230.4","26817.383","102146.87"
"61","F1","3","168696.8","29996.703","122852.09"
"62","F2","3","155720.36","26264.32","116214.945"
"63","F3","3","135730.0","21855.406","95042.16"
"64","F4","3","148519.25","23075.973","104958.63"
"65","F5","3","147594.55","23667.121","105704.53"
"66","F6","3","145249.47","21968.643","95790.19"
"67","F7","3","166219.1","29196.434","138243.0"
"68","F8","3","118688.93","20848.506","104105.125"
"69","F9","3","124407.266","21761.572","105166.234"
"70","F10","3","169981.81","25075.535","101603.76"
"71","F11","3","209320.7","31543.06","121193.85"
"72","F12","3","206890.36","33175.918","120021.48"
"73","G1","3","175906.89","30345.69","127124.56"
"74","G2","3","160640.88","27337.234","116094.5"
