# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"38","D2","false","1.95x10_3 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.1748906568009785","","","29.93560528568821","0.9708530409868833","30.390669953654747","0.39414107751704547","true","0.04596446514135212","true","3","27"
"39","D3","false","1.95x10_3 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.1778402374852293","","","30.61234567062578","0.9571407683064331","30.390669953654747","0.39414107751704547","true","0.04596446514135212","true","3","27"
"40","D4","false","AA_0753 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"41","D5","false","AA_0753 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"42","D6","false","AA_0753 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"43","D7","false","AA_0807 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"44","D8","false","AA_0807 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"45","D9","false","AA_0807 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"46","D10","false","AA_0714","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"47","D11","false","AA_0714","Unknown","UNKNOWN","FAM","None","Amp","0.9876850974932229","","","36.77359757139535","0.519825671310074","36.40238253775027","0.5249773351381748","true","0.09264752831052908","true","3","33"
"48","D12","false","AA_0714","Unknown","UNKNOWN","FAM","None","Amp","1.0201664744809156","","","36.0311675041052","0.738386641647089","36.40238253775027","0.5249773351381748","true","0.09264752831052908","true","3","31"
"49","E1","false","2.44x10_2 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.2950518784563367","","","33.72877920933689","0.9372288831912391","34.213320385140854","0.6947052568946602","true","0.04596446514135212","true","3","31"
"50","E2","false","2.44x10_2 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.172166867561748","","","35.00924274145875","0.9679926581414778","34.213320385140854","0.6947052568946602","true","0.04596446514135212","true","3","32"
"51","E3","false","2.44x10_2 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.281428287843286","","","33.90193920462691","0.966914925932233","34.213320385140854","0.6947052568946602","true","0.04596446514135212","true","3","29"
"52","E4","false","AA_0754 I R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"53","E5","false","AA_0754 I R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"54","E6","false","AA_0754 I R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"55","E7","false","AA_0815 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"56","E8","false","AA_0815 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"57","E9","false","AA_0815 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"58","E10","false","AA_0721","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"59","E11","false","AA_0721","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"60","E12","false","AA_0721","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
